ж/м Биримдик,30
ж/м Биримдик,31
Чкалова,7
Камвольно-суконный комбинат,29
Аламединский райисполком,14
Прокуратура Аламудунского района,28
Жибек-Жолу,19
Аламединский РОВД,18
Пархоменко,16
Аламединский рынок,17
Аламединский рынок,26
ЦСМ №5,8
Атая Огонбаева,9
Свердловская районная администрация,5
м-н Восток-5,24
Рынок Таалай,12
Детский мир,20
ЦУМ Айчурек,13
Кинотеатр Ала-Тоо,23
Кинотеатр Россия,22
Кыргызская национальная филармония им. Токтогула Сатылганова,15
Национальная академия наук Кыргызской Республики,25
Бейшеналиевой,6
Павлова,21
Рыскулова,11
Коммунаров,10
Умут ж/м,27
