ж/м Биримдик,30,0
ж/м Биримдик,31,1
Чкалова,7,2
Камвольно-суконный комбинат,29,3
Аламединский райисполком,14,4
Прокуратура Аламудунского района,28,5
Жибек-Жолу,19,6
Аламединский РОВД,18,7
Пархоменко,16,8
Аламединский рынок,17,9
Аламединский рынок,26,10
ЦСМ №5,8,11
Атая Огонбаева,9,12
Свердловская районная администрация,5,13
м-н Восток-5,24,14
Рынок Таалай,12,15
Детский мир,20,16
ЦУМ Айчурек,13,17
Кинотеатр Ала-Тоо,23,18
Кинотеатр Россия,22,19
Кыргызская национальная филармония им. Токтогула Сатылганова,15,20
Национальная академия наук Кыргызской Республики,25,21
Бейшеналиевой,6,22
Павлова,21,23
Рыскулова,11,24
Коммунаров,10,25
Умут ж/м,27,26
