12-й микрорайон,42,0
Азия гипермаркет,17,1
Саякбая Каралаева,8,2
Асанбай,15,3
6-й микрорайон,14,4
7-й микрорайон,20,5
5-й микрорайон,19,6
4-й микрорайон,13,7
4-й микрорайон,18,8
Юнусалиева,27,9
Кыргызская Государственная Академия Физической Культуры и Спорта,16,10
Ахунбаева,21,11
Завод Дастан,22,12
Медерова,23,13
Кулатова,28,14
Боконбаева,29,15
Моссовет,7,16
Киевская,41,17
Бульвар Эркиндик,34,18
Кинотеатр Россия,36,19
Кыргызская национальная филармония им. Токтогула Сатылганова,24,20
Национальная академия наук Кыргызской Республики,39,21
Бейшеналиевой,5,22
Павлова,30,23
Шлагбаум,33,24
Улица Каракумская,35,25
Кызыл-Аскер,37,26
Школа №49 им. А. Толубаева,32,27
Улица Кайназаровой,38,28
Рынок Дордой Моторс,9,29
Садыгалиева,25,30
ЗАО Акун,40,31
Киркомстром,26,32
Баетова,10,33
Кирова,11,34
Детский сад №43,6,35
Кок-Кыя,12,36
ж/м Ала-Тоо,31,37
