Оскон-Ордо,38
Микрорайон Тунгуч,15
Микрорайон Тунгуч-1,16
Университет Ала-Тоо,14
ТЦ Аю Grand,10
Автосборочный завод,11
Академия МВД,12
Депо-2,13
Теплицы,37
ТЭЦ-2,23
ТЭЦ,22
Академия Туризма,32
Свердловская районная администрация,5
м-н Восток-5,31
Рынок Таалай,9
Детский мир,21
Правды (проспект Чуй),20,
Цирк,24
Кинотеатр Ала-Тоо,30
Кинотеатр Россия,29
Кыргызская национальная филармония им. Токтогула Сатылганова,17
Национальная академия наук Кыргызской Республики,35
Бейшеналиевой,6
Павлова,25
Шлагбаум,27
Улица Каракумская,28
Кызыл-Аскер,33
Школа №49 им. А. Толубаева,26
Улица Кайназаровой,34
Рынок Дордой Моторс,7
Садыгалиева,18
ЗАО Акун,36
Киркомстром,19
Баетова,8
Конечная,39
