Алтын-Казык 4-я,43
Алтын-Казык 1-я,42
Багали Махмудова,40
Тендик 4-я,41
Тендик 3-я,39
Бешкунгейский пер.,9
Бухарская,7
Профессора Зимы,38
Чуй 23-я,37
Школа №81,30
Саадаева,29
Тоголок Молдо,16
Тоголок Молдо,36
Мусоргского,32
Элебесова,11
БЧК,6
Абдрахманова,5
Куренкеева,13
ТЦ Гоин,28
Цирк,15
Киевская,31
Бульвар Эркиндик,20
Площадь Ала-Тоо,14
Кинотеатр Россия,22
Кыргызская национальная филармония им. Токтогула Сатылганова,12
Национальная академия наук Кыргызской Республики,25
Бейшеналиевой,8
Павлова,17
Шлагбаум,19
Улица Каракумская,21
Кызыл-Аскер,23
Школа №49 им. А. Толубаева,18
Улица Кайназаровой,24
Рынок Дордой Моторс,10
Волковой,26
Садыгалиева,33
Профсоюзная,34
Профсоюзная,35
Автопарк-1,27
