Таможня,39
Теплицы,38
Магазин Алмаз,37
с. Луговое,36
Мост,35
Магазин Бакай,34
Южная,33
Набережная,32
Школа,31
Сельповский переулок,42
Мостовая,30
Лицей,29
с. Ленинское,28
АЗС,27
Бишкекский автовокзал,43
Объездная,10
кафе Азиза,11
ж/м Энесай,12
Энесай,13
Рынок Чекиш-Ата,14
Гоголя,15
БЧК,26
ул. Курманжан Датка (проспект Жибек-Жолу),16
Аламединский рынок,41
Детский мир,21
ЦУМ Айчурек,17
Кинотеатр Ала-Тоо,23
Кинотеатр Россия,22
Кыргызская национальная филармония им. Токтогула Сатылганова,20
Национальная академия наук Кыргызской Республики,24
Бейшеналиевой,8
Ошский рынок,25
АЗС,18
Парк Молодёжный,19
Урицкого,7
Рынок Баят,9
Мидина,40
Сибирская,5
с. Пригородное,6
