Таможня,39,0
Теплицы,38,1
Магазин Алмаз,37,2
с. Луговое,36,3
Мост,35,4
Магазин Бакай,34,5
Южная,33,6
Набережная,32,7
Школа,31,8
Сельповский переулок,42,9
Мостовая,30,10
Лицей,29,11
с. Ленинское,28,12
АЗС,27,13
Бишкекский автовокзал,43,14
Объездная,10,15
кафе Азиза,11,16
ж/м Энесай,12,17
Энесай,13,18
Рынок Чекиш-Ата,14,19
Гоголя,15,20
БЧК,26,21
ул. Курманжан Датка (проспект Жибек-Жолу),16,22
Аламединский рынок,41,23
Детский мир,21,24
ЦУМ Айчурек,17,25
Кинотеатр Ала-Тоо,23,26
Кинотеатр Россия,22,27
Кыргызская национальная филармония им. Токтогула Сатылганова,20,28
Национальная академия наук Кыргызской Республики,24,29
Бейшеналиевой,8,30
Ошский рынок,25,31
АЗС,18,32
Парк Молодёжный,19,33
Урицкого,7,34
Рынок Баят,9,35
Мидина,40,36
Сибирская,5,37
с. Пригородное,6,38
