12-й микрорайон,40,0
Азия гипермаркет,12,1
Саякбая Каралаева,10,2
микрорайон Асанбай,13,3
11-й микрорайон,15,4
МТУ №7,16,5
Парк Асанбай,36,6
Сухэ-Батора,18,7
6-й микрорайон,19,8
7-й микрорайон,23,9
5-й микрорайон,22,10
4-й микрорайон,11,11
4-й микрорайон,21,12
Юнусалиева,41,13
Суванбердиева,20,14
ул. Медерова,17,15
ТЦ Таш-Рабат,14,16
Жукеева-Пудовкина,9,17
Кулатова,25,18
Боконбаева,26,19
Моссовет,8,20
Киевская,35,21
Бульвар Эркиндик,30,22
Площадь Ала-Тоо,27,23
Кинотеатр Россия,32,24
Кыргызская национальная филармония им. Токтогула Сатылганова,24,25
Национальная академия наук Кыргызской Республики,34,26
Бейшеналиевой,7,27
Павлова,28,28
Шлагбаум,29,29
Улица Каракумская,31,30
Кызыл-Аскер,33,31
Профсоюзная,39,32
Профсоюзная,38,33
Геология,5,34
Спорт клуб,37,35
Военный институт,6,36
