12-й микрорайон,42
Азия гипермаркет,17
Саякбая Каралаева,8
Асанбай,15
6-й микрорайон,14
7-й микрорайон,20
5-й микрорайон,19
4-й микрорайон,13
4-й микрорайон,18
Юнусалиева,27
Кыргызская Государственная Академия Физической Культуры и Спорта,16
Ахунбаева,21
Завод Дастан,22
Медерова,23
Кулатова,28
Боконбаева,29
Моссовет,7
Киевская,41
Бульвар Эркиндик,34
Кинотеатр Россия,36
Кыргызская национальная филармония им. Токтогула Сатылганова,24
Национальная академия наук Кыргызской Республики,39
Бейшеналиевой,5
Павлова,30
Шлагбаум,33
Улица Каракумская,35
Кызыл-Аскер,37
Школа №49 им. А. Толубаева,32
Улица Кайназаровой,38
Рынок Дордой Моторс,9
Садыгалиева,25
ЗАО Акун,40
Киркомстром,26
Баетова,10
Кирова,11
Детский сад №43,6
Кок-Кыя,12
ж/м Ала-Тоо,31
