Куланак,41,0
Конечная,40,1
Молдокулова,39,2
Куйручук,9,3
Магазин Глобус,10,4
Улан микрорайон,35,5
Кок-Жар микрорайон,22,6
Анкара,13,7
ТЦ Технопарк,14,8
Городское ГАИ,15,9
ТЦ Таш-Рабат,16,10
Жукеева-Пудовкина,8,11
Кулатова,23,12
Боконбаева,24,13
Моссовет,7,14
Киевская,37,15
Бульвар Эркиндик,29,16
Площадь Ала-Тоо,25,17
Кинотеатр Россия,31,18
Кыргызская национальная филармония им. Токтогула Сатылганова,17,19
Национальная академия наук Кыргызской Республики,34,20
Бейшеналиевой,6,21
Павлова,26,22
Шлагбаум,28,23
Улица Каракумская,30,24
Кызыл-Аскер,32,25
Школа №49 им. А. Толубаева,27,26
Улица Кайназаровой,33,27
Рынок Дордой Моторс,11,28
Садыгалиева,18,29
ЗАО Акун,36,30
Киркомстром,19,31
Баетова,12,32
Школьная,21,33
Колхозная,20,34
Луговая,5,35
БЧК,38,36
