КНУ им. Ж. Баласагына,110
Супара,130
Мечеть,101
Магазин Ади,131
Магазин Рияз,116
микрорайон Асанбай,89
11-й микрорайон,90
МТУ №7,91
Парк Асанбай,120
Сухэ-Батора,92
ул. Жукеева-Пудовкина,93
Жукеева-Пудовкина,94
8-й микрорайон,95
8-й микрорайон,96
Суеркулова,97
Кыргызская Государственная Медицинская Академия им. Исы Ахунбаева,98
БГТС,99
Алиаскара Токтоналиева,105
Политех,103
Айни,106
Шампанвинкомбинат - ул.Славянская,88
Горького,104
Жоомарта Боконбаева,86
Токтогула,126
Кыргызская национальная филармония им. Токтогула Сатылганова,100
Национальная академия наук Кыргызской Республики,114
Бейшеналиевой,85
Павлова,107
Шлагбаум,109
Улица Каракумская,111
Кызыл-Аскер,112
Школа №49 им. А. Толубаева,108
Улица Кайназаровой,113
Рынок Дордой Моторс,87
Садыгалиева,118
Джамгерчинова,128
Мурманская,119
Льва Толстого (ул. Чайковского),117
Тимура Фрунзе,115
Воровского,122
Завод Кока-Кола,102
Завод Шоро,123
Ашар,124
Михаила Лущихина,125
Лущихина,121
ул. Улукман,129
Ак-Ордо,127
