Аламедин-1,74
Кыргыз почтасы,81
Рынок Чолпон,79
Центр семейной медицины №5,80
Спортшкола,75
Школа–интернат,94
Лермонтова,97
ТЭЦ-2,83
ТЭЦ,82
Академия Туризма,92
Свердловская районная администрация,70
м-н Восток-5,91
Рынок Таалай,73
Детский мир,78
Правды (проспект Чуй),77
Цирк,84
Кинотеатр Ала-Тоо,90
Кинотеатр Россия,89
Кыргызская национальная филармония им. Токтогула Сатылганова,76
Национальная академия наук Кыргызской Республики,96
Бейшеналиевой,72
Павлова,85
Шлагбаум,87
Улица Каракумская,88
Кызыл-Аскер,93
Школа №49 им. А. Толубаева,86
Улица Кайназаровой,95
Средняя общеобразовательная школа №83,99
Кудайберген,67
Геология,68
Спорт клуб,98
Военный институт,71
Эгинчиева,69
ж/м Достук,100
