Кирпичная,46,0
Кирпичная,29,1
Школа,28,2
Церковь,27,3
Крупской,26,4
Маяковского,25,5
Больница,7,6
Горького,8,7
Кирова,9,8
Боконбаева,11,9
Дом культуры,45,10
Калинина,10,11
Чкалова,44,12
Мамыркалиева,43,13
Жибек-Жолу,19,14
Аламединский РОВД,17,15
Пархоменко,14,16
Аламединский рынок,16,17
ул. Курманжан Датка (проспект Жибек-Жолу),12,18
Восточный автовокзал,5,19
Центральная мечеть им. Имам Сарахси,42,20
Цирк,30,21
Кинотеатр Ала-Тоо,35,22
Кинотеатр Россия,34,23
Кыргызская национальная филармония им. Токтогула Сатылганова,13,24
Национальная академия наук Кыргызской Республики,38,25
Павлова,31,26
Шлагбаум,32,27
Улица Каракумская,33,28
Кызыл-Аскер,36,29
Улица Кайназаровой,37,30
Садыгалиева,18,31
ЗАО Акун,39,32
Киркомстром,20,33
Баетова,6,34
Школьная,24,35
Колхозная,23,36
Мельница,22,37
Токтогула,21,38
Пушкина,15,39
Октябрьская,41,40
Колхозная,40,41
Комсомольская,48,42
Новый западный автовокзал,47,43
