12-й микрорайон,10,0
микрорайон Асанбай,12,1
11-й микрорайон,13,2
МТУ №7,14,3
Парк Асанбай,41,4
Сухэ-Батора,15,5
ул. Жукеева-Пудовкина,16,6
Жукеева-Пудовкина,17,7
8-й микрорайон,18,8
Парк Победы,42,9
парк Ынтымак 2,47,10
"Парк ""Ынтымак""",43,11
Учебно-воспитательный комплекс им. Г. Гмайнера,48,12
Алиаскара Токтоналиева,29,13
Политех,24,14
Айни,30,15
Шампанвинкомбинат- ул.Славянская,9,16
Горького,25,17
Жоомарта Боконбаева,6,18
Токтогула,44,19
Кыргызская национальная филармония им. Токтогула Сатылганова,19,20
Национальная академия наук Кыргызской Республики,37,21
Бейшеналиевой,5,22
Павлова,31,23
Шлагбаум,33,24
Улица Каракумская,34,25
Кызыл-Аскер,35,26
Школа №49 им. А. Толубаева,32,27
Улица Кайназаровой,36,28
Рынок Дордой Моторс,7,29
Садыгалиева,21,30
ЗАО Акун,38,31
Киркомстром,22,32
Баетова,8,33
Школьная,28,34
Колхозная,27,35
Мельница,26,36
Токтогула,23,37
Пушкина,20,38
Октябрьская,40,39
Колхозная,39,40
Зайнидина Уметалиева,45,41
Новостройка ВОССТ,11,42
с. Северный рассвет,46,43
