12-й микрорайон,10
микрорайон Асанбай,12
11-й микрорайон,13
МТУ №7,14
Парк Асанбай,41
Сухэ-Батора,15
ул. Жукеева-Пудовкина,16
Жукеева-Пудовкина,17
8-й микрорайон,18
Парк Победы,42
парк Ынтымак 2,47
Парк "Ынтымак",43
Учебно-воспитательный комплекс им. Г. Гмайнера,48
Алиаскара Токтоналиева,29
Политех,24
Айни,30
Шампанвинкомбинат- ул.Славянская,9
Горького,25
Жоомарта Боконбаева,6
Токтогула,44
Кыргызская национальная филармония им. Токтогула Сатылганова,19
Национальная академия наук Кыргызской Республики,37
Бейшеналиевой,5
Павлова,31
Шлагбаум,33
Улица Каракумская,34
Кызыл-Аскер,35
Школа №49 им. А. Толубаева,32
Улица Кайназаровой,36
Рынок Дордой Моторс,7
Садыгалиева,21
ЗАО Акун,38
Киркомстром,22
Баетова,8
Школьная,28
Колхозная,27
Мельница,26
Токтогула,23
Пушкина,20
Октябрьская,40
Колхозная,39
Зайнидина Уметалиева,45
Новостройка ВОССТ,11
с. Северный рассвет,46
