с. Восток (ул. Тельмана),35,0
с. Восток (ул. Тельмана),37,1
60 лет Киргизии,40,2
Лебединовская средняя школа №3,38,3
Восток магазин,39,4
Калинина,12,5
Прокуратура Аламудунского района,16,6
Таатан,14,7
Лермонтова,36,8
ТЭЦ-2,22,9
ТЭЦ,21,10
Академия Туризма,29,11
Свердловская районная администрация,5,12
м-н Восток-5,28,13
Рынок Таалай,10,14
Детский мир,18,15
Киевская,34,16
Бульвар Эркиндик,26,17
Площадь Ала-Тоо,20,18
Тоголок Молдо,19,19
Кыргызская национальная филармония им. Токтогула Сатылганова,13,20
Национальная академия наук Кыргызской Республики,32,21
Бейшеналиевой,6,22
Павлова,23,23
Шлагбаум,25,24
Улица Каракумская,27,25
Кызыл-Аскер,30,26
Школа №49 им. А. Толубаева,24,27
Улица Кайназаровой,31,28
Рынок Дордой Моторс,8,29
Садыгалиева,15,30
ЗАО Акун,33,31
Киркомстром,17,32
Баетова,9,33
Кирова,11,34
Детский сад №43,7,35
Ак-Ордо 2-я,41,36
