с. Восток (ул. Тельмана),35
с. Восток (ул. Тельмана),37
60 лет Киргизии,40
Лебединовская средняя школа №3,38
Восток магазин,39
Калинина,12
Прокуратура Аламудунского района,16
Таатан,14
Лермонтова,36
ТЭЦ-2,22
ТЭЦ,21
Академия Туризма,29
Свердловская районная администрация,5
м-н Восток-5,28
Рынок Таалай,10
Детский мир,18
Киевская,34
Бульвар Эркиндик,26
Площадь Ала-Тоо,20
Тоголок Молдо,19
Кыргызская национальная филармония им. Токтогула Сатылганова,13
Национальная академия наук Кыргызской Республики,32
Бейшеналиевой,6
Павлова,23
Шлагбаум,25
Улица Каракумская,27
Кызыл-Аскер,30
Школа №49 им. А. Толубаева,24
Улица Кайназаровой,31
Рынок Дордой Моторс,8
Садыгалиева,15
ЗАО Акун,33
Киркомстром,17
Баетова,9
Кирова,11
Детский сад №43,7
Ак-Ордо 2-я,41
