Алтын-Казык 4-я,43,0
Алтын-Казык 1-я,42,1
Багали Махмудова,40,2
Тендик 4-я,41,3
Тендик 3-я,39,4
Бешкунгейский пер.,9,5
Бухарская,7,6
Профессора Зимы,38,7
Чуй 23-я,37,8
Школа №81,30,9
Саадаева,29,10
Тоголок Молдо,16,11
Тоголок Молдо,36,12
Мусоргского,32,13
Элебесова,11,14
БЧК,6,15
Абдрахманова,5,16
Куренкеева,13,17
ТЦ Гоин,28,18
Цирк,15,19
Киевская,31,20
Бульвар Эркиндик,20,21
Площадь Ала-Тоо,14,22
Кинотеатр Россия,22,23
Кыргызская национальная филармония им. Токтогула Сатылганова,12,24
Национальная академия наук Кыргызской Республики,25,25
Бейшеналиевой,8,26
Павлова,17,27
Шлагбаум,19,28
Улица Каракумская,21,29
Кызыл-Аскер,23,30
Школа №49 им. А. Толубаева,18,31
Улица Кайназаровой,24,32
Рынок Дордой Моторс,10,33
Волковой,26,34
Садыгалиева,33,35
Профсоюзная,34,36
Профсоюзная,35,37
Автопарк-1,27,38
