Аламедин-1,12,0
Строительная фирма Азат,28,1
Нефтебаза,5,2
Улица Кырман,29,3
Микрорайон Тунгуч,23,4
Микрорайон Тунгуч-1,24,5
Университет Ала-Тоо,22,6
Республиканское ГАИ,25,7
АГЗС,21,8
Алтын Ордо,20,9
Улица Оберон,18,10
Дордой,16,11
Достоевского,15,12
Октябрьская,26,13
Завод Айнур,14,14
Рынок Мадина,13,15
Свердловская районная администрация,6,16
м-н Восток-5,33,17
Рынок Таалай,11,18
Детский мир,30,19
ЦУМ Айчурек,17,20
Кинотеатр Ала-Тоо,32,21
Кинотеатр Россия,31,22
Кыргызская национальная филармония им. Токтогула Сатылганова,27,23
Национальная академия наук Кыргызской Республики,34,24
Бейшеналиевой,9,25
Киностудия Айтыш Фильм,42,26
Улица Коммунаров,10,27
Ленская,19,28
Сергея Лазо,43,29
Школа №54,39,30
Стадион Динамо,40,31
Улица Дорожная,7,32
Серёгина,8,33
Ак-Жол пост ГАИ,35,34
Ак-Жол,36,35
Ак-Жол,37,36
Ак-Жол пост ГАИ,38,37
с. Степное,41,38
