Ак-Бата,33
Ак-Бата 19-я,41
Ак-Бата 12-я,35
Ак-Бата 7,36
Ак-Бата 4-я,40
Ак-Бата 3-я,34
Якова Логвиненко,4
Северный пер.,5
Советский пер.,11
Заводской пер.,12
Нижне-Аларчинская средняя школа,13
Колхозная,14
Малый Чуйский канал,15
Западный пер.,16
Саадаева,39
Тоголок Молдо,26
Щербакова,27
Васильева,20
Тоголок Молдо,42
Куренкеева,38
Церковь,30
Энергосбыт,28
Исанова,25
Кыргызский Государственный Национальный Университет,24
Кыргызская национальная филармония им. Токтогула Сатылганова,21
Национальная академия наук Кыргызской Республики,32
Бейшеналиевой,10
Ошский рынок,17
Пивной завод Арпа,18
Родильный дом №2,22
Чокморова,23
Рынок Баткен,19
Садырбаева,29
Станция Пишпек,31
Репина,9
4-я Горбольница,6
СОШ №92,7
Селекционное,8
Асанкула,43
с. Джал,37
с.Сарбан,44
