Аламедин-1,74,0
Кыргыз почтасы,81,1
Рынок Чолпон,79,2
Центр семейной медицины №5,80,3
Спортшкола,75,4
Школа–интернат,94,5
Лермонтова,97,6
ТЭЦ-2,83,7
ТЭЦ,82,8
Академия Туризма,92,9
Свердловская районная администрация,70,10
м-н Восток-5,91,11
Рынок Таалай,73,12
Детский мир,78,13
Правды (проспект Чуй),77,14
Цирк,84,15
Кинотеатр Ала-Тоо,90,16
Кинотеатр Россия,89,17
Кыргызская национальная филармония им. Токтогула Сатылганова,76,18
Национальная академия наук Кыргызской Республики,96,19
Бейшеналиевой,72,20
Павлова,85,21
Шлагбаум,87,22
Улица Каракумская,88,23
Кызыл-Аскер,93,24
Школа №49 им. А. Толубаева,86,25
Улица Кайназаровой,95,26
Средняя общеобразовательная школа №83,99,27
Кудайберген,67,28
Геология,68,29
Спорт клуб,98,30
Военный институт,71,31
Эгинчиева,69,32
ж/м Достук,100,33
