Ак-Бата,33,0
Ак-Бата 19-я,41,1
Ак-Бата 12-я,35,2
Ак-Бата 7,36,3
Ак-Бата 4-я,40,4
Ак-Бата 3-я,34,5
Якова Логвиненко,4,6
Северный пер.,5,7
Советский пер.,11,8
Заводской пер.,12,9
Нижне-Аларчинская средняя школа,13,10
Колхозная,14,11
Малый Чуйский канал,15,12
Западный пер.,16,13
Саадаева,39,14
Тоголок Молдо,26,15
Щербакова,27,16
Васильева,20,17
Тоголок Молдо,42,18
Куренкеева,38,19
Церковь,30,20
Энергосбыт,28,21
Исанова,25,22
Кыргызский Государственный Национальный Университет,24,23
Кыргызская национальная филармония им. Токтогула Сатылганова,21,24
Национальная академия наук Кыргызской Республики,32,25
Бейшеналиевой,10,26
Ошский рынок,17,27
Пивной завод Арпа,18,28
Родильный дом №2,22,29
Чокморова,23,30
Рынок Баткен,19,31
Садырбаева,29,32
Станция Пишпек,31,33
Репина,9,34
4-я Горбольница,6,35
СОШ №92,7,36
Селекционное,8,37
Асанкула,43,38
с. Джал,37,39
с.Сарбан,44,40
