Кирпичная,46
Кирпичная,29
Школа,28
Церковь,27
Крупской,26
Маяковского,25
Больница,7
Горького,8
Кирова,9
Боконбаева,11
Дом культуры,45
Калинина,10
Чкалова,44
Мамыркалиева,43
Жибек-Жолу,19
Аламединский РОВД,17
Пархоменко,14
Аламединский рынок,16
ул. Курманжан Датка (проспект Жибек-Жолу),12
Восточный автовокзал,5
Центральная мечеть им. Имам Сарахси,42
Цирк,30
Кинотеатр Ала-Тоо,35
Кинотеатр Россия,34
Кыргызская национальная филармония им. Токтогула Сатылганова,13
Национальная академия наук Кыргызской Республики,38
Павлова,31
Шлагбаум,32
Улица Каракумская,33
Кызыл-Аскер,36
Улица Кайназаровой,37
Садыгалиева,18
ЗАО Акун,39
Киркомстром,20
Баетова,6
Школьная,24
Колхозная,23
Мельница,22
Токтогула,21
Пушкина,15
Октябрьская,41
Колхозная,40
Комсомольская,48
Новый западный автовокзал,47
