Чон Курганская,22,0
Бешкунгейский пер.,6,1
Профессора Зимы,27,2
Чуй 23-я,26,3
Школа №81,21,4
Саадаева,20,5
Тоголок Молдо,14,6
Щербакова,15,7
Васильева,8,8
Тоголок Молдо,28,9
Куренкеева,25,10
Церковь,17,11
Энергосбыт,16,12
Кыргызская национальная филармония им. Токтогула Сатылганова,9,13
Национальная академия наук Кыргызской Республики,19,14
Калык Акиева,23,15
Бульвар Молодой Гвардии,13,16
Ошский рынок,5,17
Пивной завод Арпа,7,18
Кулиева,10,19
Матыева,11,20
Леваневского,12,21
Красная,18,22
Джал-23 микрорайон,29,23
Гипермаркет Азия,24,24
Шералиева,30,25
Шералиева,32,26
Магазин Жакып,31,27
