Чон Курганская,22
Бешкунгейский пер.,6
Профессора Зимы,27
Чуй 23-я,26
Школа №81,21
Саадаева,20
Тоголок Молдо,14
Щербакова,15
Васильева,8
Тоголок Молдо,28
Куренкеева,25
Церковь,17
Энергосбыт,16
Кыргызская национальная филармония им. Токтогула Сатылганова,9
Национальная академия наук Кыргызской Республики,19
Калык Акиева,23
Бульвар Молодой Гвардии,13
Ошский рынок,5
Пивной завод Арпа,7
Кулиева,10
Матыева,11
Леваневского,12
Красная,18
Джал-23 микрорайон,29
Гипермаркет Азия,24
Шералиева,30
Шералиева,32
Магазин Жакып,31
